yyyymm,country_code,origin,rank,device,fast_fp,avg_fp,slow_fp,p75_fp,fast_fcp,avg_fcp,slow_fcp,p75_fcp,fast_dcl,avg_dcl,slow_dcl,p75_dcl,fast_ol,avg_ol,slow_ol,p75_ol,fast_fid,avg_fid,slow_fid,p75_fid,fast_ttfb,avg_ttfb,slow_ttfb,p75_ttfb,small_cls,medium_cls,large_cls,p75_cls,fast_lcp,avg_lcp,slow_lcp,p75_lcp,notification_permission_accept,notification_permission_deny,notification_permission_ignore,notification_permission_dismiss,desktopDensity,phoneDensity,tabletDensity,_4GDensity,_3GDensity,_2GDensity,slow2GDensity,offlineDensity,fast_inp,avg_inp,slow_inp,p75_inp,navigation_types_navigate,navigation_types_navigate_cache,navigation_types_reload,navigation_types_restore,navigation_types_back_forward,navigation_types_back_forward_cache,navigation_types_prerender
202403,us,https://www.newbalance.com,5000,desktop,0.1163,0.21,0.0212,1700,0.2731,0.0592,0.0222,1700,0.1828,0.1354,0.03,2100,0.0917,0.1914,0.0785,5900,0.3438,0.0134,0.0061,0,0.2412,0.0883,0.0149,800,0.3153,0.0098,0.0143,0.05,0.3081,0.0338,0.0138,1800,0.0,0.0,0.2623,0.0,0.3545,0.0,0.0,0.3545,0.0,0.0,0.0,0.0,0.3197,0.0437,0.0244,125,0.3044,0.0,0.0038,0.0029,0.0413,0.0,0.002
202403,us,https://www.nike.com,1000,desktop,0.1123,0.2127,0.0287,1900,0.2462,0.0813,0.0306,1900,0.1509,0.1488,0.0589,2700,0.1436,0.1602,0.0615,5000,0.374,0.0154,0.0099,0,0.2037,0.1318,0.0178,1000,0.1321,0.049,0.1136,0.4,0.2094,0.0772,0.0725,3500,0.0,0.0,0.5234,0.0,0.3581,0.0,0.0,0.3581,0.0,0.0,0.0,0.0,0.3295,0.0662,0.0338,175,0.2641,0.0272,0.0042,0.0022,0.0585,0.0,0.0035
202403,us,https://www.newbalance.com,5000,phone,0.1139,0.4745,0.0637,2000,0.4337,0.1493,0.0621,2000,0.2342,0.345,0.0728,2400,0.0812,0.3665,0.1907,7000,0.5946,0.0315,0.0103,0,0.3815,0.2234,0.0504,1000,0.5107,0.0151,0.089,0.05,0.5265,0.0828,0.0347,2100,0.0,0.0,0.7377,0.0,0.0,0.6451,0.0,0.6252,0.0199,0.0,0.0,0.0,0.4449,0.1202,0.0469,200,0.5022,0.0,0.0306,0.0,0.1124,0.0,0.0004
202403,us,https://www.nike.com,1000,phone,0.1745,0.3701,0.1015,2400,0.3796,0.1592,0.1028,2400,0.2047,0.2968,0.1395,3200,0.1665,0.3367,0.1313,5800,0.5592,0.0228,0.0184,0,0.362,0.2208,0.0637,1100,0.3571,0.015,0.2561,0.7,0.3488,0.1645,0.1277,3500,0.0,0.0,0.4766,0.0,0.0,0.6416,0.0,0.6115,0.0301,0.0,0.0,0.0,0.3521,0.1558,0.0627,275,0.4203,0.0349,0.0327,0.0,0.1516,0.0001,0.0006
202403,us,https://www.on.com,10000,desktop,0.1007,0.1375,0.0266,1800,0.2063,0.0445,0.0276,1800,0.1893,0.0575,0.013,1500,0.1486,0.0912,0.0293,3900,0.2657,0.0104,0.0049,0,0.1887,0.0506,0.016,800,0.2052,0.0124,0.0454,0.1,0.1037,0.0816,0.0832,4500,,,,,0.2784,0.0,0.0,0.2784,0.0,0.0,0.0,0.0,0.1356,0.0687,0.131,775,0.2549,0.0002,0.0066,0.0067,0.0084,0.0004,0.0009
202403,us,https://www.on.com,10000,phone,0.2129,0.4388,0.0832,2000,0.4917,0.1505,0.0791,2000,0.517,0.1808,0.0424,1600,0.3569,0.2708,0.1031,4600,0.6647,0.0411,0.0126,0,0.4971,0.1902,0.0575,900,0.4695,0.0532,0.1224,0.1,0.1973,0.2802,0.2539,4600,,,,,0.0,0.7213,0.0,0.6924,0.0289,0.0,0.0,0.0,0.2418,0.089,0.3338,925,0.5931,0.0003,0.1021,0.0,0.0259,0.0003,0.0002
202403,us,https://www.adidas.com,5000,desktop,0.1368,0.2108,0.0463,2100,0.2669,0.0842,0.0498,2100,0.086,0.2013,0.1112,3700,0.1347,0.2055,0.0675,5200,0.3816,0.0217,0.0194,0,0.2025,0.1235,0.0638,1400,0.2478,0.0408,0.0886,0.2,0.2863,0.0646,0.0471,2600,0.0,0.0,0.3645,0.0,0.4009,0.0,0.0,0.4009,0.0,0.0,0.0,0.0,0.2565,0.1026,0.11,450,0.3648,0.0,0.0109,0.0052,0.0178,0.0,0.0045
202403,us,https://www.adidas.com,5000,phone,0.1368,0.3558,0.1133,2600,0.3251,0.1588,0.1151,2600,0.0549,0.2896,0.2565,4700,0.1008,0.3411,0.1507,6500,0.4913,0.0388,0.0477,25,0.2382,0.2294,0.1424,1700,0.2943,0.0644,0.195,0.35,0.3795,0.1236,0.0983,3200,0.0,0.0,0.6355,0.0,0.0,0.599,0.0,0.5751,0.0239,0.0,0.0,0.0,0.1984,0.1387,0.194,775,0.4993,0.0,0.0506,0.0,0.0461,0.0,0.0008
202403,us,https://www.hoka.com,1000,desktop,0.1026,0.175,0.0278,1800,0.2266,0.0537,0.0302,1800,0.1052,0.1479,0.0568,2900,0.1288,0.1531,0.0368,4400,0.266,0.0244,0.0361,25,0.1815,0.0963,0.0237,1000,0.1646,0.0251,0.0247,0.1,0.17,0.0811,0.0631,3500,0.0,0.0,0.2532,0.0,0.3105,0.0,0.0,0.3105,0.0,0.0,0.0,0.0,0.2071,0.0808,0.0532,300,0.2724,0.0,0.0018,0.0021,0.0326,0.0,0.0008
202403,us,https://www.hoka.com,1000,phone,0.104,0.4476,0.1284,2500,0.3816,0.161,0.1325,2500,0.0669,0.3691,0.2395,4200,0.0993,0.4196,0.1477,6100,0.5607,0.0538,0.0441,25,0.3309,0.2618,0.0916,1200,0.3576,0.1292,0.1455,0.15,0.26,0.206,0.2055,4400,0.0,0.0,0.7468,0.0,0.0,0.6751,0.0,0.6516,0.0235,0.0,0.0,0.0,0.2768,0.2399,0.1286,425,0.535,0.0,0.0279,0.0,0.1132,0.0,0.0002
202403,us,https://www.hoka.com,1000,tablet,0.0013,0.0087,0.0045,3300,0.0058,0.0036,0.005,3700,0.0008,0.0048,0.0085,6900,0.001,0.0063,0.0068,10500,0.0114,0.0015,0.0014,50,0.0065,0.0053,0.002,1300,0.0026,0.0013,0.0024,0.15,0.0029,0.0036,0.0079,7000,,,,,0.0,0.0,0.0144,0.0144,0.0,0.0,0.0,0.0,0.0036,0.0045,0.0056,800,0.0112,0.0,0.0007,0.0,0.0019,0.0,0.0
